instance_name,mode,best_cost,time_ms,expanded_nodes,generated_nodes,pruned_by_bound,pruned_infeasible,completed_tours,max_open_size,timed_out,optimality_proven,initial_upper_bound,initial_upper_bound_method,lower_bound_method,best_path
example_matrix,bfs,30,0.142,47,65,18,0,6,24,False,True,,infinity,simple_admissible_min_outgoing,0 -> 3 -> 4 -> 1 -> 2 -> 0
example_matrix,dfs,30,0.069,21,33,12,0,3,7,False,True,,infinity,simple_admissible_min_outgoing,0 -> 3 -> 4 -> 1 -> 2 -> 0
example_matrix,lc,30,0.070,12,22,10,0,1,11,False,True,,infinity,simple_admissible_min_outgoing,0 -> 3 -> 4 -> 1 -> 2 -> 0
