n,graph_type,source_kind,instance_count,run_count,avg_time_ms,avg_relative_error_percent,avg_improvement_percent
51,symmetric,tsplib,1,1,2.039458,13.145540,0.000000
52,symmetric,tsplib,1,1,3.494708,8.472554,0.000000
70,symmetric,tsplib,1,1,2.938875,17.925926,0.000000
76,symmetric,tsplib,1,1,3.238500,13.011152,0.000000
100,symmetric,tsplib,2,2,5.387021,17.589405,0.000000
127,symmetric,tsplib,1,1,4.654708,13.182056,0.058976
130,symmetric,tsplib,1,1,5.418250,16.677578,0.000000
