instance_name,source_kind,source_path,graph_type,n,repetition,seed,initial_cost,best_cost,reference_cost,relative_error_percent,time_ms,iterations,accepted_moves,improved_moves,best_tour
eil51,tsplib,data/tsplib/eil51.tsp,symmetric,51,1,63345,482,482,426,13.145540,2.039458,20000,19773,0,7 25 30 27 2 19 34 35 28 20 49 8 48 4 37 10 31 0 21 1 15 33 29 9 38 32 44 14 43 36 16 3 17 46 11 45 50 26 5 47 22 6 42 23 13 24 12 40 18 41 39
berlin52,tsplib,data/tsplib/berlin52.tsp,symmetric,52,1,64345,8181,8181,7542,8.472554,3.494708,20000,15621,0,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1
st70,tsplib,data/tsplib/st70.tsp,symmetric,70,1,82345,796,796,675,17.925926,2.938875,20000,19583,0,16 42 40 5 41 17 3 1 6 31 2 7 27 25 48 54 18 23 14 56 62 21 58 37 68 30 12 28 69 34 22 0 35 15 46 36 57 49 9 4 52 65 51 59 11 20 33 32 53 61 47 66 55 64 50 10 63 60 39 44 38 24 45 26 8 67 43 29 19 13
eil76,tsplib,data/tsplib/eil76.tsp,symmetric,76,1,88345,608,608,538,13.011152,3.238500,20000,19734,0,52 13 18 34 6 7 45 33 51 26 44 28 47 46 20 73 27 61 72 0 42 40 41 63 21 60 68 35 70 59 69 19 36 4 14 56 12 53 66 75 74 67 5 50 16 11 39 31 43 2 15 62 32 1 29 3 25 57 71 38 8 24 49 17 23 48 22 55 54 30 9 37 64 10 65 58
kroA100,tsplib,data/tsplib/kroA100.tsp,symmetric,100,1,112345,24698,24698,21282,16.051123,5.418333,20000,8227,0,84 67 72 49 43 1 53 39 63 68 80 24 60 50 86 8 6 56 19 11 26 85 34 61 59 76 22 97 90 44 31 10 14 16 73 20 58 71 9 83 35 37 23 17 78 52 87 15 21 93 69 65 64 3 96 55 79 30 88 41 7 91 0 62 5 48 89 18 74 25 98 46 92 27 66 57 54 82 33 28 45 2 42 13 70 40 99 47 51 77 95 4 36 32 75 12 94 81 38 29
rd100,tsplib,data/tsplib/rd100.tsp,symmetric,100,1,112345,9423,9423,7910,19.127686,5.355708,20000,15307,0,80 79 64 50 82 89 90 63 35 56 46 98 52 5 78 9 32 2 3 31 77 19 73 25 8 11 84 13 81 74 20 48 66 96 62 85 14 61 17 0 59 7 68 12 86 70 67 47 29 21 40 33 6 39 41 42 24 23 54 38 95 28 34 43 99 51 44 15 97 65 75 57 87 83 30 22 1 88 58 94 76 92 27 36 18 45 49 72 55 91 26 16 71 69 37 53 93 10 60 4
bier127,tsplib,data/tsplib/bier127.tsp,symmetric,127,1,139345,133953,133874,118282,13.182056,4.654708,20000,2939,1,116 83 80 125 81 82 74 75 77 79 78 76 17 20 16 21 3 22 23 5 105 14 107 19 18 71 7 8 10 113 104 6 0 15 1 50 56 53 44 102 43 34 35 36 40 13 11 30 26 29 42 33 38 37 25 24 32 121 27 28 31 41 39 120 4 55 123 51 49 12 114 9 119 2 89 115 59 61 60 90 57 63 99 112 65 54 46 48 52 47 117 45 93 111 110 106 126 92 94 122 96 97 100 101 62 118 95 108 86 85 84 87 109 70 69 68 67 72 73 66 58 124 88 91 98 64 103
ch130,tsplib,data/tsplib/ch130.tsp,symmetric,130,1,142345,7129,7129,6110,16.677578,5.418250,20000,16971,0,3 34 53 1 49 129 70 38 40 0 15 127 104 61 111 116 2 113 107 7 17 45 79 117 19 92 36 21 46 39 22 121 54 59 50 41 43 119 52 48 57 105 37 78 94 115 23 14 28 88 93 109 97 67 62 69 96 25 6 87 68 63 85 123 128 60 108 75 10 4 44 114 27 82 29 58 120 77 89 124 84 65 125 20 32 95 66 12 13 9 101 5 90 71 91 72 98 73 74 51 8 56 55 64 102 76 80 11 86 99 26 18 30 16 33 103 106 126 42 47 24 31 112 35 83 118 110 122 100 81
