instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,1,10475771889922102330,7104,6905,2.881970,338.735,322,13,90,0.920,0.340,0.350
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,2,10475771889923331701,7564,6905,9.543809,368.238,361,11,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,0,7368820102420387546,2129,1950,9.179487,453.338,240,6,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,1,7368820102421516319,2104,1950,7.897436,427.612,234,8,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,2,7368820102422385232,2092,1950,7.282051,445.446,241,8,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,0,4280652453259100529,39002,36230,7.651118,717.392,263,19,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,1,4280652453260036020,38963,36230,7.543472,732.712,266,20,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,2,4280652453257102843,38801,36230,7.096329,952.544,350,28,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,0,14055910813023164505,1405,1326,5.957768,3003.601,145,42,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,1,14055910813022068380,1415,1326,6.711916,3001.509,117,41,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,2,14055910813025426643,1411,1326,6.410256,3011.335,115,38,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,0,10897442009592000136,564,564,0.000000,361.818,240,6,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,1,10897442009593129037,565,564,0.177305,687.679,456,8,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,2,10897442009589803522,574,564,1.773050,445.094,300,5,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,0,7473758041634545793,1025,1019,0.588813,1375.828,434,20,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,1,7473758041633547844,1020,1019,0.098135,1546.726,415,13,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,2,7473758041636742155,1020,1019,0.098135,1050.674,284,12,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,0,9677460383725127783,1377,1368,0.657895,3003.819,453,22,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,1,9677460383724195490,1371,1368,0.219298,2746.157,449,23,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,2,9677460383727127789,1374,1368,0.438596,2017.848,346,14,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,0,9215414194207893237,1335,1332,0.225225,3005.206,466,29,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,1,9215414194206892080,1336,1332,0.300300,2693.524,407,33,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,2,9215414194209825407,1337,1332,0.375375,3004.212,425,31,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,0,8097124237495263760,1630,1621,0.555213,2042.337,287,13,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,1,8097124237494297813,1626,1621,0.308452,2493.861,345,24,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,2,8097124237497525914,1630,1621,0.555213,2040.794,294,10,90,0.920,0.340,0.350
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,0,12458123624762979352,2555,2513,1.671309,3012.019,123,33,90,0.920,0.340,0.350
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,1,12458123624764142301,2600,2513,3.461998,3011.404,93,21,90,0.920,0.340,0.350
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,2,12458123624760782994,2562,2513,1.949861,3002.977,89,27,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,0,17387575537536512530,2908,2789,4.266762,3087.894,49,20,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,1,17387575537537610967,2917,2789,4.589459,3031.001,52,22,90,0.920,0.340,0.350
lim963,VLSI,Waterloo_VLSI,TSP,EUC_2D,963,2,17387575537534252696,2880,2789,3.262818,3025.737,59,29,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,0,12645652969828319564,4943,4666,5.936562,3000.683,41,18,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,1,12645652969827256201,4881,4666,4.607801,3012.844,36,19,90,0.920,0.340,0.350
dka1376,VLSI,Waterloo_VLSI,TSP,EUC_2D,1376,2,12645652969826125254,4927,4666,5.593656,3044.509,45,23,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,0,2386467851548169367,6545,6115,7.031889,3064.712,35,12,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,1,2386467851549200978,6562,6115,7.309894,3023.241,28,13,90,0.920,0.340,0.350
djc1785,VLSI,Waterloo_VLSI,TSP,EUC_2D,1785,2,2386467851545972765,6555,6115,7.195421,3054.030,30,14,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,0,12656641529505319398,7750,7219,7.355589,3062.306,26,15,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,1,12656641529504255779,7738,7219,7.189361,3126.774,20,14,90,0.920,0.340,0.350
xpr2308,VLSI,Waterloo_VLSI,TSP,EUC_2D,2308,2,12656641529507319148,7777,7219,7.729602,3205.229,19,12,90,0.920,0.340,0.350
