instance,kind,source,type,edge_weight_type,dimension,repetition,seed,best_length,opt_length,gap_percent,elapsed_ms,generations,improvements,population_size,crossover_rate,mutation_rate,local_search_rate
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,1,10475771889922102330,7263,6905,5.184649,1010.397,256,18,90,0.920,0.340,0.350
ft53,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,53,2,10475771889923331701,7564,6905,9.543809,681.207,361,11,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,0,7368820102420387546,2129,1950,9.179487,848.790,240,6,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,1,7368820102421516319,2104,1950,7.897436,1074.162,234,8,90,0.920,0.340,0.350
ftv70,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,71,2,7368820102422385232,2092,1950,7.282051,1025.530,241,8,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,0,4280652453259100529,39002,36230,7.651118,1399.105,263,19,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,1,4280652453260036020,38963,36230,7.543472,2504.362,266,20,90,0.920,0.340,0.350
kro124p,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,100,2,4280652453257102843,38801,36230,7.096329,2551.448,350,28,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,0,14055910813023164505,1450,1326,9.351433,3144.946,45,17,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,1,14055910813022068380,1499,1326,13.046757,3063.978,31,10,90,0.920,0.340,0.350
rbg323,ASYM,TSPLIB_ATSP,ATSP,EXPLICIT,323,2,14055910813025426643,1502,1326,13.273002,3002.726,34,11,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,0,10897442009592000136,564,564,0.000000,904.131,240,6,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,1,10897442009593129037,565,564,0.177305,1378.432,456,8,90,0.920,0.340,0.350
xqf131,VLSI,Waterloo_VLSI,TSP,EUC_2D,131,2,10897442009589803522,574,564,1.773050,990.620,300,5,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,0,7473758041634545793,1025,1019,0.588813,2912.804,434,20,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,1,7473758041633547844,1020,1019,0.098135,3006.756,383,13,90,0.920,0.340,0.350
xqg237,VLSI,Waterloo_VLSI,TSP,EUC_2D,237,2,7473758041636742155,1020,1019,0.098135,2902.458,330,12,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,0,9677460383725127783,1379,1368,0.804094,3006.884,195,20,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,1,9677460383724195490,1371,1368,0.219298,3004.951,261,23,90,0.920,0.340,0.350
pma343,VLSI,Waterloo_VLSI,TSP,EUC_2D,343,2,9677460383727127789,1374,1368,0.438596,3002.502,175,14,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,0,9215414194207893237,1337,1332,0.375375,3000.796,193,27,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,1,9215414194206892080,1336,1332,0.300300,3000.880,205,33,90,0.920,0.340,0.350
pka379,VLSI,Waterloo_VLSI,TSP,EUC_2D,379,2,9215414194209825407,1341,1332,0.675676,3033.700,129,29,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,0,8097124237495263760,1630,1621,0.555213,3005.857,152,13,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,1,8097124237494297813,1626,1621,0.308452,3002.237,145,24,90,0.920,0.340,0.350
bcl380,VLSI,Waterloo_VLSI,TSP,EUC_2D,380,2,8097124237497525914,1630,1621,0.555213,3017.504,247,10,90,0.920,0.340,0.350
xql662,VLSI,Waterloo_VLSI,TSP,EUC_2D,662,0,12458123624762979352,2579,2513,2.626343,3011.087,47,18,90,0.920,0.340,0.350
